HQ ID,Ecosystem Area,Asset Type,Asset / Idea,Topic / Cluster,Primary Channel,Secondary Channels,Format,Stage,Priority,Next Action,Blocked By,Owner,Calendar Use,Publish URL,Source / Evidence,Notes,Short Description,Seasonality,Planning Month,Target Publish Date,Susy Input,Last Updated,Last Posted Date,Last Checked,Metric Snapshot,Work Date,Pillar,Audience,CTA / Goal,Copy / Captions,Examples,Affiliate Angle,Missing / Incomplete Items,Last Optimized Date,Canva Design URL,Canva Template URL,Visual Asset Status
BW-HQ-001,System,Operating System,Bloom Whispers Content HQ,All,Codex,"Spreadsheet, Dashboard",Tracker,In Production,P0 - active this week,Create first tracker and use it as weekly source of truth,,Codex,Weekly review block,,docs/brands/bloom-whispers/content-hq/bloom-whispers-content-hq.csv,"This tracker is the control room, not another idea graveyard.","This tracker is the control room, not another idea graveyard.",Evergreen,,,,2026-08-18,,,,,,,,,,,,
BW-HQ-207,Published Baseline,Article,12 Spider Lily Floral Arrangement Ideas (That Feel Like Autumn Magic),Spider Lily,Blog,"Pinterest, Instagram",Published article,Published,Done - published or implemented,"Monitor, optimize, and decide whether to repurpose.",,Codex,Review/optimization block,https://bloomwhispers.com/spider-lily-floral-arrangement-ideas/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,Looking for Spider Lily Floral Arrangement Ideas? Spider lilies are one of those flowers that don’t politely “blend in.” They arrive .…,Evergreen,,2026-03-23,,2026-03-23,2026-03-23,2026-08-19,,,Flower meanings,Bloom Whispers readers,Use as published archive baseline for optimization and repurposing decisions.,,,,,,,,
BW-HQ-208,Published Baseline,Article,"Higanbana in Japan: Red Spider Lily Symbolism, Ohigan Traditions, and Autumn Bloom Magic",Spider Lily,Blog,"Pinterest, Instagram",Published article,Published,Done - published or implemented,"Monitor, optimize, and decide whether to repurpose.",,Codex,Review/optimization block,https://bloomwhispers.com/red-spider-lily-symbolism/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,"Red spider lily symbolism in Japan is deeply tied to the flower’s timing, its connection to Ohigan, and the reflective mood of the autumn equinox.",Evergreen,,2026-03-19,,2026-03-23,2026-03-19,2026-08-19,,,Flower meanings,Bloom Whispers readers,Use as published archive baseline for optimization and repurposing decisions.,,,,,,,,
BW-HQ-209,Published Baseline,Article,"10 Ways the World Uses the Hibiscus Flower for Energy, Beauty & Balance",Hibiscus,Blog,"Pinterest, Instagram",Published article,Published,Done - published or implemented,"Monitor, optimize, and decide whether to repurpose.",,Codex,Review/optimization block,https://bloomwhispers.com/hibiscus-flower-uses/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,"10 Hibiscus Flower Uses flower for beauty, energy, and balance from Indian hair oils to Egyptian teas and Jamaican sorrel traditions.",Evergreen,,2025-10-29,,2026-02-14,2025-10-29,2026-08-19,,,Edible flower content,Bloom Whispers readers,Use as published archive baseline for optimization and repurposing decisions.,,,,,,,,
BW-HQ-210,Published Baseline,Article,"The Story of The Hibiscus Flower: Meaning, Symbolism, and Benefits All in One Bloom",Hibiscus,Blog,"Pinterest, Instagram",Published article,Published,Done - published or implemented,"Monitor, optimize, and decide whether to repurpose.",,Codex,Review/optimization block,https://bloomwhispers.com/hibiscus-flower-meaning/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,"Discover the hibiscus flower’s meaning, varieties, and benefits—from tea and recipes to rituals and symbolism",Evergreen,,2025-10-28,,2025-10-28,2025-10-28,2026-08-19,,,Flower meanings,Bloom Whispers readers,Use as published archive baseline for optimization and repurposing decisions.,,,,,,,,
BW-HQ-211,Published Baseline,Article,Flower Recipes: 7 Delicious Ways to Use Dried Hibiscus Flowers,Hibiscus,Blog,"Pinterest, Instagram",Published article,Published,Done - published or implemented,"Monitor, optimize, and decide whether to repurpose.",,Codex,Review/optimization block,https://bloomwhispers.com/hibiscusflower-recipe/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,"Most people know hibiscus for its tart ruby tea. Agua de Jamaica in Mexico, Karkadeh in Egypt, Zobo in Nigeria.…",Evergreen,,2025-10-28,,2025-10-28,2025-10-28,2026-08-19,,,Edible flower content,Bloom Whispers readers,Use as published archive baseline for optimization and repurposing decisions.,,,,,,,,
BW-HQ-212,Published Baseline,Article,5 min Hibiscus Chamoy Recipe: The Best Sweet-Heat Sauce You’ll Ever Make,Hibiscus,Blog,"Pinterest, Instagram",Published article,Published,Done - published or implemented,"Monitor, optimize, and decide whether to repurpose.",,Codex,Review/optimization block,https://bloomwhispers.com/5-min-hibiscus-chamoy-recipe/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,"Easy 5-minute Hibiscus Recipe! This hibiscus chamoy recipe is tangy, spicy, antioxidant-rich, and naturally stunning — no food dye needed.",Evergreen,,2025-10-27,,2025-10-27,2025-10-27,2026-08-19,,,Edible flower content,Bloom Whispers readers,Use as published archive baseline for optimization and repurposing decisions.,,,,,,,,
BW-HQ-213,Published Baseline,Article,7 Proven Benefits of the Hibiscus Flower for Hair and Skin,Hibiscus,Blog,"Pinterest, Instagram",Published article,Published,Done - published or implemented,"Monitor, optimize, and decide whether to repurpose.",,Codex,Review/optimization block,https://bloomwhispers.com/hibiscus-flower-benefits/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,Discover the benefits of the hibiscus flower for hair and skin. From boosting growth and shine to soothing inflammation.,Evergreen,,2025-10-27,,2026-02-10,2025-10-27,2026-08-19,,,Flower profiles,Bloom Whispers readers,Use as published archive baseline for optimization and repurposing decisions.,,,,,,,,
BW-HQ-214,Published Baseline,Guide,20+ Edible Flowers for Cake Decoration That Steal the Show,Edible Flowers,Blog,"Pinterest, Instagram",Published article,Published,Done - published or implemented,"Monitor, optimize, and decide whether to repurpose.",,Codex,Review/optimization block,https://bloomwhispers.com/edible-flowers-for-cakes/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,"Discover the best edible flowers for cakes to add beauty, flavor, and elegance to your desserts. Perfect for any occasion!",Evergreen,,2025-02-19,,2026-02-10,2025-02-19,2026-08-19,,,Flower guides,Bloom Whispers readers,Use as published archive baseline for optimization and repurposing decisions.,,,,,,,,
BW-HQ-215,Published Baseline,Podcast episode article,Understanding the Essence of Flowers with Botanist Roxana Khoshravesh,Botany / Flower meaning,Podcast,"Blog, Pinterest",Podcast/archive article,Published,Done - published or implemented,Monitor archive value and decide whether to repurpose.,,Codex,Review/optimization block,https://bloomwhispers.com/what-are-flowers/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,"Discover the beauty of flowers their roles in our lives, and the importance of nurturing our appreciation for nature.",Evergreen,,2024-09-24,,2024-09-24,2024-09-24,2026-08-19,,,Podcast archive,Bloom Whispers readers,Use as podcast archive baseline when repurposing is selected.,,,,,,,,
BW-HQ-216,Published Baseline,Podcast episode article,Flower Therapy: Harnessing the Healing Power of Flowers,Flower Therapy,Podcast,"Blog, Pinterest",Podcast/archive article,Published,Done - published or implemented,Monitor archive value and decide whether to repurpose.,,Codex,Review/optimization block,https://bloomwhispers.com/flower-therapy-healing-power-of-flowers/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,"Yvette Timmins, a florist and energy healer, about the healing powers of flowers like sunflowers and roses. Flower therapy",Evergreen,,2024-09-24,,2024-09-24,2024-09-24,2026-08-19,,,Podcast archive,Bloom Whispers readers,Use as podcast archive baseline when repurposing is selected.,,,,,,,,
BW-HQ-217,Published Baseline,Podcast episode article,Forest Therapy with Elizabeth Mintun: The Healing Power of Nature,Forest Therapy,Podcast,"Blog, Pinterest",Podcast/archive article,Published,Done - published or implemented,Monitor archive value and decide whether to repurpose.,,Codex,Review/optimization block,https://bloomwhispers.com/the-healing-power-of-forest-therapy/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,"Discover how nature can enhance mental wellness, the origins of this therapeutic approach, and practical tips to start with forest therapy",Evergreen,,2024-09-24,,2024-09-24,2024-09-24,2026-08-19,,,Podcast archive,Bloom Whispers readers,Use as podcast archive baseline when repurposing is selected.,,,,,,,,
BW-HQ-218,Published Baseline,Podcast episode article,Flower Frequencies: Laura Ashley Explores The Healing Power of Flower Energy,Flower Energy,Podcast,"Blog, Pinterest",Podcast/archive article,Published,Done - published or implemented,Monitor archive value and decide whether to repurpose.,,Codex,Review/optimization block,https://bloomwhispers.com/flower-energy/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,Discover the healing power of flower energy with Laura Ashley on Bloom Whispers. Transform your well-being with tips on using flower essences,Evergreen,,2024-09-23,,2024-09-23,2024-09-23,2026-08-19,,,Podcast archive,Bloom Whispers readers,Use as podcast archive baseline when repurposing is selected.,,,,,,,,
BW-HQ-219,Published Baseline,Podcast episode article,Exploring The Healing Properties of Flowers,Flower Healing,Podcast,"Blog, Pinterest",Podcast/archive article,Published,Done - published or implemented,Monitor archive value and decide whether to repurpose.,,Codex,Review/optimization block,https://bloomwhispers.com/healing-properties-of-flowers/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,"Explore the healing properties of flowers with herbalist Amelia South. Get insights into chamomile, roses, violets, calendula, and bee balm.",Evergreen,,2024-04-05,,2024-09-23,2024-04-05,2026-08-19,,,Podcast archive,Bloom Whispers readers,Use as podcast archive baseline when repurposing is selected.,,,,,,,,
BW-HQ-220,Published Baseline,Podcast episode article,The Lotus Flower Meaning: Healing & Creativity,Lotus,Podcast,"Blog, Pinterest",Podcast/archive article,Published,Done - published or implemented,Monitor archive value and decide whether to repurpose.,,Codex,Review/optimization block,https://bloomwhispers.com/lotus-flower-meaning/,apps/bloom-whispers/lib/journalPosts.ts,Imported from current Bloom Whispers journal archive.,"Discover the profound meaning of the lotus flower, dive into a spiritual awakening journey, and embrace mindfulness.",Evergreen,,2021-05-30,,2024-09-23,2021-05-30,2026-08-19,,,Podcast archive,Bloom Whispers readers,Use as podcast archive baseline when repurposing is selected.,,,,,,,,
BW-HQ-221,Etsy,Listing,BW-011 Folk Flower Day and Night Prints,Folk flower / day-night prints,Etsy,Pinterest,Digital wall art listing,Published,Done - published or implemented,Capture live Etsy URL and first review metrics for BW-011.,,Etsy agent + Susy,Review 2026-08-17,,docs/brands/bloom-whispers/market-research/category-opportunity-scorecard-2026-08-14.md,Live listing imported from the Etsy category opportunity scorecard; public URL still needs capture if blank.,BW-011 Folk Flower Day and Night Prints is listed as live in the Etsy scorecard with first review due 2026-08-17.,Evergreen,August 2026,2026-08-10,,2026-08-19,2026-08-10,2026-08-19,,,Etsy live listings,Etsy shoppers,"Track listing-level views, favorites, sales, conversion, and optimization timing.",,,,,,,,
BW-HQ-222,Etsy,Listing,BW-013 Moody Poppies Poster,Poppy / dark botanical,Etsy,Pinterest,Digital wall art listing,Published,Done - published or implemented,Capture live Etsy URL and first review metrics for BW-013.,,Etsy agent + Susy,Review 2026-08-18,,docs/brands/bloom-whispers/market-research/category-opportunity-scorecard-2026-08-14.md,Live listing imported from the Etsy category opportunity scorecard; public URL still needs capture if blank.,BW-013 Moody Poppies Poster is listed as live in the Etsy scorecard with first review due 2026-08-18.,Evergreen,August 2026,2026-08-11,,2026-08-19,2026-08-11,2026-08-19,,,Etsy live listings,Etsy shoppers,"Track listing-level views, favorites, sales, conversion, and optimization timing.",,,,,,,,
BW-HQ-223,Etsy,Listing,BW-014 Calm Wreath,Minimal / calm floral,Etsy,Pinterest,Digital wall art listing,Published,Done - published or implemented,Capture live Etsy URL and first review metrics for BW-014.,,Etsy agent + Susy,Review 2026-08-16,,docs/brands/bloom-whispers/market-research/category-opportunity-scorecard-2026-08-14.md,Live listing imported from the Etsy category opportunity scorecard; public URL still needs capture if blank.,BW-014 Calm Wreath is listed as live in the Etsy scorecard with first review due 2026-08-16.,Evergreen,August 2026,2026-08-09,,2026-08-19,2026-08-09,2026-08-19,,,Etsy live listings,Etsy shoppers,"Track listing-level views, favorites, sales, conversion, and optimization timing.",,,,,,,,
BW-HQ-224,Etsy,Listing,BW-016 Calla Lily Slow Down,Calla lily / calm floral,Etsy,Pinterest,Digital wall art listing,Published,Done - published or implemented,Capture live Etsy URL and first review metrics for BW-016.,,Etsy agent + Susy,Review 2026-08-15,,docs/brands/bloom-whispers/market-research/category-opportunity-scorecard-2026-08-14.md,Live listing imported from the Etsy category opportunity scorecard; public URL still needs capture if blank.,BW-016 Calla Lily Slow Down is listed as live in the Etsy scorecard with first review due 2026-08-15.,Evergreen,August 2026,2026-08-08,,2026-08-19,2026-08-08,2026-08-19,,,Etsy live listings,Etsy shoppers,"Track listing-level views, favorites, sales, conversion, and optimization timing.",,,,,,,,
BW-HQ-225,Etsy,Listing,BW-019 Hydrangea Watercolor Citrus,Hydrangea / kitchen citrus,Etsy,Pinterest,Digital wall art listing,Published,Done - published or implemented,Capture live Etsy URL and first review metrics for BW-019.,,Etsy agent + Susy,Review 2026-08-19,,docs/brands/bloom-whispers/market-research/category-opportunity-scorecard-2026-08-14.md,Live listing imported from the Etsy category opportunity scorecard; public URL still needs capture if blank.,BW-019 Hydrangea Watercolor Citrus is listed as live in the Etsy scorecard with first review due 2026-08-19.,Evergreen,August 2026,2026-08-12,,2026-08-19,2026-08-12,2026-08-19,,,Etsy live listings,Etsy shoppers,"Track listing-level views, favorites, sales, conversion, and optimization timing.",,,,,,,,
BW-HQ-226,Etsy,Listing,BW-020 Hydrangea Dopamine Decor,Hydrangea / dopamine decor,Etsy,Pinterest,Digital wall art listing,Published,Done - published or implemented,Review BW-020 first signal; this listing URL was recorded in the scorecard SERP evidence.,,Etsy agent + Susy,Review 2026-08-20,https://www.etsy.com/ca/listing/4554282620/colorful-hydrangea-wall-art-print,docs/brands/bloom-whispers/market-research/category-opportunity-scorecard-2026-08-14.md,Live listing imported from the Etsy category opportunity scorecard; public URL still needs capture if blank.,BW-020 Hydrangea Dopamine Decor is listed as live in the Etsy scorecard with first review due 2026-08-20.,Evergreen,August 2026,2026-08-13,,2026-08-19,2026-08-13,2026-08-19,,,Etsy live listings,Etsy shoppers,"Track listing-level views, favorites, sales, conversion, and optimization timing.",,,,,,,,
BW-HQ-227,Etsy,Listing,BW-027 Poppy Dark Academia and Moth,Poppy / dark academia,Etsy,Pinterest,Digital wall art listing,Published,Done - published or implemented,Capture live Etsy URL and first review metrics for BW-027.,,Etsy agent + Susy,Review 2026-08-21,,docs/brands/bloom-whispers/market-research/category-opportunity-scorecard-2026-08-14.md,Live listing imported from the Etsy category opportunity scorecard; public URL still needs capture if blank.,BW-027 Poppy Dark Academia and Moth is listed as live in the Etsy scorecard with first review due 2026-08-21.,Evergreen,August 2026,2026-08-14,,2026-08-19,2026-08-14,2026-08-19,,,Etsy live listings,Etsy shoppers,"Track listing-level views, favorites, sales, conversion, and optimization timing.",,,,,,,,
